﻿书名,链接,作者,出版社,出版时间,价格,评分,导语
小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 , 人民文学出版社 , 2003-8 , 22.00元,9.0,献给长成了大人的孩子们
白夜行,https://book.douban.com/subject/3259440/,[日] 东野圭吾 , 南海出版公司 , 2008-9 , 29.80元,9.1,暗夜独行的残破灵魂，爱与恶本就难分难舍
活着,https://book.douban.com/subject/4913064/,余华 , 作家出版社 , 2012-8-1 , 20.00元,9.4,生的苦难与伟大
红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著 , 人民文学出版社 , 1996-12 , 59.70元,9.6,谁解其中味？
百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2011-6 , 39.50元,9.2,尼采所谓的永劫复归，一场无始无终的梦魇
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,路遥 , 人民文学出版社 , 2005-1 , 64.00元,9.0,中国当代城乡生活全景
三体Ⅱ,https://book.douban.com/subject/3066477/,刘慈欣 , 重庆出版社 , 2008-5 , 32.00,9.3,无边的黑暗森林，比第一部更为恢弘壮丽
三体Ⅲ,https://book.douban.com/subject/5363767/,刘慈欣 , 重庆出版社 , 2010-11 , 38.00元,9.2,终章，何去何从
哈利·波特与魔法石,https://book.douban.com/subject/1041007/,[英] J. K. 罗琳 , 人民文学出版社 , 2000-9 , 19.50元,9.1,羽加迪姆勒维奥萨！
撒哈拉的故事,https://book.douban.com/subject/1361264/,三毛 , 皇冠出版社 , 1976 , 160 TWD,9.0,关于漂泊的一切
