address,longitude,latitude
北京,116.4133837,39.91092455
河北 ,117.2035928,39.15348514
四川 ,104.0734665,30.57754315
广东 ,113.2724289,23.13794856
福建 ,119.3024475,26.10633942
安徽 ,117.3305404,31.73429416
江苏 ,118.7695516,32.06677694
四川 ,104.0734665,30.57754315
重庆,106.5584342,29.56899625
北京,116.4133837,39.91092455
河南 ,101.6224734,34.74039607
安徽 ,117.3305404,31.73429416
广东 ,113.2724289,23.13794856
广东 ,113.2724289,23.13794856
天津,117.2108131,39.1439299
北京,116.4133837,39.91092455
浙江 ,120.1595331,30.27154839
北京,116.4133837,39.91092455
安徽 ,117.3305404,31.73429416
北京,116.4133837,39.91092455
辽宁 ,123.4355979,41.84146525
北京,116.4133837,39.91092455
四川 ,104.0734665,30.57754315
山东 ,117.0274416,36.67485665
陕西 ,108.9603931,34.27580801
江苏 ,118.7695516,32.06677694
江苏 ,118.7695516,32.06677694
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
福建 ,119.3024475,26.10633942
天津,117.2108131,39.1439299
吉林,126.5556345,43.84356783
浙江 ,120.1595331,30.27154839
四川 ,104.0734665,30.57754315
安徽 ,117.3305404,31.73429416
山西 ,112.5693755,37.87982942
湖北 ,114.3484407,30.55160006
北京,116.4133837,39.91092455
贵州 ,106.7144759,26.60402954
北京,116.4133837,39.91092455
安徽 ,117.3305404,31.73429416
贵州 ,106.7144759,26.60402954
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
广东 ,113.2724289,23.13794856
四川 ,104.0734665,30.57754315
四川 ,104.0734665,30.57754315
河南 ,101.6224734,34.74039607
重庆,106.5584342,29.56899625
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
黑龙江 ,126.6696528,45.74792984
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
贵州 ,106.7144759,26.60402954
重庆,106.5584342,29.56899625
重庆,106.5584342,29.56899625
北京,116.4133837,39.91092455
四川 ,104.0734665,30.57754315
内蒙古 ,111.7726058,40.82315623
安徽 ,117.3305404,31.73429416
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
安徽 ,117.3305404,31.73429416
江苏 ,118.7695516,32.06677694
重庆,106.5584342,29.56899625
四川 ,104.0734665,30.57754315
山东 ,117.0274416,36.67485665
福建 ,119.3024475,26.10633942
北京,116.4133837,39.91092455
四川 ,104.0734665,30.57754315
四川 ,104.0734665,30.57754315
内蒙古 ,111.7726058,40.82315623
云南 ,102.7164161,25.05156227
北京,116.4133837,39.91092455
广东 ,113.2724289,23.13794856
北京,116.4133837,39.91092455
河南 ,101.6224734,34.74039607
四川 ,104.0734665,30.57754315
四川 ,104.0734665,30.57754315
四川 ,104.0734665,30.57754315
湖南 ,112.9896025,28.11827
四川 ,104.0734665,30.57754315
福建 ,119.3024475,26.10633942
四川 ,104.0734665,30.57754315
四川 ,104.0734665,30.57754315
湖南 ,112.9896025,28.11827
江苏 ,118.7695516,32.06677694
安徽 ,117.3305404,31.73429416
广东 ,113.2724289,23.13794856
江西 ,115.9154232,28.68169052
北京,116.4133837,39.91092455
辽宁 ,123.4355979,41.84146525
北京,116.4133837,39.91092455
湖南 ,112.9896025,28.11827
湖南 ,112.9896025,28.11827
广东 ,113.2724289,23.13794856
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
四川 ,104.0734665,30.57754315
山东 ,117.0274416,36.67485665
北京,116.4133837,39.91092455
广东 ,113.2724289,23.13794856
北京,116.4133837,39.91092455
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
江西 ,115.9154232,28.68169052
北京,116.4133837,39.91092455
四川 ,104.0734665,30.57754315
北京,116.4133837,39.91092455
浙江 ,120.1595331,30.27154839
安徽 ,117.3305404,31.73429416
湖南 ,112.9896025,28.11827
天津,117.2108131,39.1439299
黑龙江 ,126.6696528,45.74792984
重庆,106.5584342,29.56899625
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
安徽 ,117.3305404,31.73429416
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
山东 ,117.0274416,36.67485665
四川 ,104.0734665,30.57754315
黑龙江 ,126.6696528,45.74792984
广东 ,113.2724289,23.13794856
广东 ,113.2724289,23.13794856
江西 ,115.9154232,28.68169052
湖北 ,114.3484407,30.55160006
四川 ,104.0734665,30.57754315
四川 ,104.0734665,30.57754315
陕西 ,108.9603931,34.27580801
北京,116.4133837,39.91092455
广东 ,113.2724289,23.13794856
四川 ,104.0734665,30.57754315
山东 ,117.0274416,36.67485665
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
黑龙江 ,126.6696528,45.74792984
重庆,106.5584342,29.56899625
福建 ,119.3024475,26.10633942
北京,116.4133837,39.91092455
山东 ,117.0274416,36.67485665
安徽 ,117.3305404,31.73429416
吉林,126.5556345,43.84356783
陕西 ,108.9603931,34.27580801
北京,116.4133837,39.91092455
河北 ,117.2035928,39.15348514
黑龙江 ,126.6696528,45.74792984
山东 ,117.0274416,36.67485665
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
江苏 ,118.7695516,32.06677694
四川 ,104.0734665,30.57754315
广东 ,113.2724289,23.13794856
北京,116.4133837,39.91092455
天津,117.2108131,39.1439299
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
河北 ,117.2035928,39.15348514
北京,116.4133837,39.91092455
山东 ,117.0274416,36.67485665
安徽 ,117.3305404,31.73429416
四川 ,104.0734665,30.57754315
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
河北 ,117.2035928,39.15348514
安徽 ,117.3305404,31.73429416
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
吉林,126.5556345,43.84356783
北京,116.4133837,39.91092455
湖北 ,114.3484407,30.55160006
吉林 ,126.5556345,43.84356783
辽宁 ,123.4355979,41.84146525
湖南 ,112.9896025,28.11827
上海,121.4805389,31.23592904
四川 ,104.0734665,30.57754315
浙江 ,120.1595331,30.27154839
河南 ,101.6224734,34.74039607
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
北京,116.4133837,39.91092455
